elapsedTime,eventType,isCorrect,gameVersion,sceneName,sessionId,subversion,timestamp,index,host,studentName,description,gameState_correctToday,gameState_helpedToday,gameState_flaggedToday,gameState_totalCorrect,gameState_totalReported,gameState_totalFlagged,gameState_reportedToday,gameState_totalHelped
0,item_clicked,False,0.3,Scene1_Day1_V2,0de9d895-4559-46f7-8afc-08052516e05d,A,2026-03-06 22:22:17.825000+00:00,0,html-classic.itch.zone,,4_SStudentID (I),3,0,0,3,0,0,0,0
0,item_clicked,False,0.3,Scene1_Day1_V2,46d6aa07-d866-4d83-bb2a-7c86f2630314,A,2026-03-07 01:21:11.886000+00:00,0,html-classic.itch.zone,,5_SStudentID (I),3,0,0,3,0,0,0,0
0,scene_entered,False,0.3,Scene2_Day1_V2,49e58e02-2a63-497a-80ba-cbb461b26a6b,A,2026-03-07 03:49:53.591000+00:00,0,html-classic.itch.zone,,,4,0,0,4,0,0,0,0
0,session_start,False,0.3,Scene0_Title,,,2026-03-06 22:49:19.209000+00:00,0,html-classic.itch.zone,,,0,0,0,0,0,0,0,0
0,item_clicked,False,0.3,Scene1_Day1_V2,be447527-0472-49d4-a49e-aec17e42f4e7,A,2026-03-07 03:32:38.431000+00:00,0,html-classic.itch.zone,,5_SReviewFolder (I),4,0,0,4,0,0,0,0
0,item_clicked,False,0.3,Scene1_Day1_V2,9ebe5df9-fa7a-467d-9af5-3076227c2319,A,2026-03-07 00:40:02.155000+00:00,0,html-classic.itch.zone,,1_SExamTicket (I),0,0,0,0,0,0,0,0
0,item_clicked,False,0.3,Scene1_Day1_V2,13c0858e-e858-4dd9-94b8-f4721a5d45d1,A,2026-03-06 23:13:48.972000+00:00,0,serve.gamejolt.net,,5_IncorrectIcon (I),3,0,0,3,0,0,0,0
0,item_clicked,False,0.3,Scene1_Day2,b4b2835f-6960-4183-ab27-453c6d249f9b,A,2026-03-06 23:28:24.458000+00:00,0,html-classic.itch.zone,,4_SStudentID (I),2,0,0,5,0,1,0,1
0,admission_decision,True,0.3,Scene1_Day2,0de9d895-4559-46f7-8afc-08052516e05d,A,2026-03-06 21:30:22.136000+00:00,0,html-classic.itch.zone,Student1 (I),Denied,1,0,0,6,1,1,0,1
0,item_clicked,False,0.3,Scene1_Day2,274bae92-a49b-4694-b68c-6798d56a6817,A,2026-03-07 04:34:50.033000+00:00,0,html-classic.itch.zone,,S_ExamGuide (I),3,0,0,7,0,0,0,1
14.034026145935059,bad_behavior_missed,False,0.3,Scene2_Day1_V2,f2bc79c6-8424-4b96-9d86-247aa88e5e74,A,2026-03-06 21:38:50.067000+00:00,0,html-classic.itch.zone,Row1Student1 (A),,4,0,0,4,0,0,0,0
0,item_clicked,False,0.3,Scene1_Day1_V2,7d18fd96-27e2-41fc-9ed1-232e3b2851b5,B,2026-03-07 00:10:02.836000+00:00,0,html-classic.itch.zone,,3_SReviewFolder (I),2,0,0,2,0,0,0,0
0,admission_decision,True,0.3,Scene1_Day3,dfeebf35-d416-4dea-beac-925188d0fae1,B,2026-03-07 02:40:58.976000+00:00,0,html-classic.itch.zone,Student2 (I),Denied,2,0,0,11,2,4,0,2
12.44394302368164,bad_behavior_clicked,False,0.3,Scene2_Day1_V2,55fd891a-cd8b-48e6-b5a3-91ae55733ee8,A,2026-03-07 03:12:59.450000+00:00,0,html-classic.itch.zone,Row1Student1 (A),,5,0,0,5,0,0,0,0
0,item_clicked,False,0.3,Scene1_Day3,dfeebf35-d416-4dea-beac-925188d0fae1,B,2026-03-07 02:40:35.823000+00:00,0,html-classic.itch.zone,,2_SMaterials (I),1,0,0,10,2,4,0,2
0,scene_entered,False,0.3,Scene0_Title,7927ef72-21bc-4a6f-9079-85b20d31f2fa,B,2026-03-07 01:29:56.371000+00:00,0,html-classic.itch.zone,,,0,0,0,0,0,0,0,0
0,item_clicked,False,0.3,Scene1_Day1_V2,50a17622-404e-47be-a9dc-2d0d57631f9f,A,2026-03-07 03:11:19.203000+00:00,0,html-classic.itch.zone,,2_SReviewFolder (I),1,0,0,1,0,0,0,0
